player_code,year,tpa,sb,avg,slg,avg_exit_speed,hard_hit_perc
2818464,2014,392,7,0.290858726,0.404432133,86.76492732,0.16
2254728,2017,392,0,0.257668712,0.389570552,86.80897605,0.2890625
2680763,2014,391,21,0.237142857,0.34,83.34476832,0.02173913
2739758,2014,391,0,0.240687679,0.329512894,87.60332858,0.333333333
2157738,2016,391,14,0.278735632,0.347701149,85.41302529,0.239316239
2220852,2014,391,8,0.25210084,0.394957983,84.38951301,0.2
1640703,2010,390,9,0.331476323,0.456824513,,
2582024,2010,390,15,0.235955056,0.308988764,,
2185008,2016,390,0,0.294285714,0.528571429,90.69317317,0.43442623
2214582,2017,389,4,0.259587021,0.578171091,89.97943251,0.45026178
2222022,2015,388,9,0.263157895,0.33625731,82.60012838,0.066666667
2499546,2010,387,36,0.338108883,0.432664756,,
2219076,2018,386,5,0.281842818,0.368563686,87.1796469,0.295302013
2678417,2012,385,18,0.212209302,0.322674419,,
2233014,2017,385,7,0.209230769,0.369230769,85.49473819,0.303797468
2541567,2010,384,1,0.204402516,0.308176101,,
2826790,2015,384,2,0.23006135,0.349693252,90.62062862,0.25
2233920,2018,384,10,0.210227273,0.318181818,87.65652362,0.365168539
2767404,2013,383,2,0.26744186,0.375,,
2230578,2014,383,9,0.272727273,0.425219941,87.84293301,0.222222222
2257686,2016,383,1,0.194690265,0.342182891,85.71470475,0.298913043
2230872,2017,382,2,0.274285714,0.431428571,89.70506168,0.401574803
2208864,2014,382,16,0.307453416,0.447204969,86.22692849,0.252631579
2221638,2017,381,1,0.24,0.415384615,87.19528429,0.319634703
2191536,2014,381,1,0.257790368,0.385269122,89.8424743,0.3
2236086,2018,379,18,0.221574344,0.314868805,83.39776559,0.204761905
2768255,2015,376,9,0.218181818,0.393939394,89.63141963,0.206896552
1717644,2015,376,15,0.302670623,0.391691395,84.88323395,0.208791209
2200290,2014,376,0,0.265486726,0.427728614,86.75581753,0.30952381
2684857,2012,375,4,0.201863354,0.316770186,,
2201046,2016,375,1,0.203703704,0.367283951,88.6555549,0.374331551
2222832,2017,375,1,0.21474359,0.323717949,87.76024894,0.347619048
2540486,2012,374,2,0.256965944,0.448916409,,
2201280,2016,374,3,0.235474006,0.418960245,89.26675862,0.415584416
2208810,2014,374,1,0.27244582,0.424148607,86.54828429,0.355932203
2809931,2015,373,3,0.23699422,0.326589595,82.56103625,0.005434783
2250102,2015,373,6,0.273273273,0.546546547,89.13920038,0.454545455
2253822,2016,373,21,0.228915663,0.328313253,88.51084028,0.38
2429396,2011,372,12,0.311614731,0.444759207,,
2522477,2014,372,12,0.233108108,0.293918919,84.3309596,0
2629680,2013,371,1,0.310650888,0.402366864,85.04754276,0.051470588
2174400,2018,371,4,0.269349845,0.504643963,91.41292157,0.454545455
2581932,2010,370,7,0.281065089,0.381656805,,
2611510,2013,370,48,0.273006135,0.32208589,83.86075542,0
2232660,2017,369,11,0.298013245,0.341059603,84.37079785,0.195219124
2522477,2012,368,14,0.253289474,0.351973684,,
2259186,2016,368,7,0.305732484,0.579617834,89.73403771,0.428571429
2170974,2016,368,2,0.251461988,0.374269006,87.7304935,0.369402985
2267844,2017,365,2,0.247787611,0.410029499,85.04546942,0.27755102
2231904,2015,365,1,0.257971014,0.408695652,85.62591641,0.255172414
2250462,2018,365,1,0.302325581,0.386627907,86.3949782,0.318493151
2186238,2016,364,0,0.218068536,0.361370717,84.34287206,0.236842105
2250330,2018,364,5,0.253246753,0.435064935,85.81491864,0.254464286
2611510,2015,363,19,0.253869969,0.312693498,79.7921438,0.013422819
2195898,2015,363,5,0.255451713,0.308411215,85.43403217,0.170731707
2188338,2017,363,20,0.278125,0.39375,87.42035173,0.276422764
2602057,2010,362,4,0.236245955,0.365695793,,
2233644,2015,362,3,0.28343949,0.414012739,90.47023574,0.408602151
2474729,2010,361,19,0.252365931,0.447949527,,
2739275,2015,361,1,0.237179487,0.291666667,83.97381308,0
2252868,2017,361,17,0.281553398,0.446601942,90.05596264,0.409090909
2208126,2015,361,0,0.260188088,0.369905956,89.25758873,0.347222222
2258688,2016,360,4,0.214511041,0.27444795,84.83138709,0.202643172
2232438,2014,360,0,0.250764526,0.311926606,85.34366203,0.142857143
